"stand_id";"species";"count";"height_from";"height_to";"age"
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;0.98;1.18;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;1.73;1.93;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;1.94;2.14;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;0.41;0.61;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;0.14;0.34;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;0.06;0.26;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;1.36;1.56;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;0.55;0.75;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;0.99;1.19;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;2.14;2.34;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;0.51;0.71;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;0.85;1.05;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;1.38;1.58;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;1.78;1.98;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;0.03;0.23;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;0.77;0.97;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;1.78;1.98;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;1.87;2.07;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;1.62;1.82;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;1.09;1.29;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;3.61;3.81;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;2.03;2.23;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;2.01;2.21;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;0.52;0.72;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;0.44;0.64;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;0.7;0.9;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;3.11;3.31;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;2.34;2.54;20
"5 4 0 BF99 55 30 34 33 33";"Aspen";1485.04;1.4;1.6;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;0.62;0.82;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;3.81;4.01;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;0.33;0.53;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;2.81;3.01;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;2.92;3.12;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;0.24;0.44;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;0.97;1.17;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;1.64;1.84;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;2.95;3.15;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;1.29;1.49;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;0.22;0.42;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;2.15;2.35;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;0.76;0.96;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;0.23;0.43;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;0.29;0.49;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;3.24;3.44;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;1.37;1.57;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;2.55;2.75;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;1.97;2.17;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;0.43;0.63;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;0.91;1.11;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;1.07;1.27;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;1.27;1.47;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;1.76;1.96;20
"6 5 0 BF99 55 30 34 33 33";"Aspen";719.68;1.34;1.54;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;1.91;2.11;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;2.02;2.22;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;1.8;2;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;0.42;0.62;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;2.61;2.81;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;3.49;3.69;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;0.98;1.18;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;1.59;1.79;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;0.45;0.65;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;2.75;2.95;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;1.98;2.18;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;1.03;1.23;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;1.63;1.83;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;1.02;1.22;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;1.33;1.53;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;3.13;3.33;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;0.59;0.79;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;0.47;0.67;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;1.28;1.48;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;0.41;0.61;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;0.47;0.67;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;3.84;4.04;20
