"stand_id";"species";"count";"height_from";"height_to";"age"
11;"Potr";629.46;0.2;0.4;20
11;"Potr";629.46;1.22;1.42;20
11;"Potr";629.46;2.42;2.62;20
11;"Potr";629.46;1.96;2.16;20
11;"Potr";629.46;0.69;0.89;20
11;"Potr";629.46;0.49;0.69;20
11;"Potr";629.46;0.99;1.19;20
11;"Potr";629.46;0.87;1.07;20
11;"Potr";629.46;2.06;2.26;20
11;"Potr";629.46;2.65;2.85;20
11;"Potr";629.46;1.07;1.27;20
11;"Potr";629.46;0.55;0.75;20
11;"Potr";629.46;2.98;3.18;20
11;"Potr";629.46;0.5;0.7;20
11;"Potr";629.46;0.65;0.85;20
12;"Potr";379.33;0.38;0.58;20
12;"Potr";379.33;1.76;1.96;20
12;"Potr";379.33;0.59;0.79;20
12;"Potr";379.33;1.71;1.91;20
12;"Potr";379.33;1.32;1.52;20
12;"Potr";379.33;1.44;1.64;20
12;"Potr";379.33;1.4;1.6;20
12;"Potr";379.33;0.78;0.98;20
12;"Potr";379.33;0.08;0.28;20
12;"Potr";379.33;1.03;1.23;20
12;"Potr";379.33;0.67;0.87;20
12;"Potr";379.33;2.45;2.65;20
12;"Potr";379.33;1.31;1.51;20
12;"Potr";379.33;2.53;2.73;20
12;"Potr";379.33;0.61;0.81;20
12;"Potr";379.33;0.62;0.82;20
12;"Potr";379.33;1.31;1.51;20
12;"Potr";379.33;1.18;1.38;20
12;"Potr";379.33;1.85;2.05;20
12;"Potr";379.33;0.63;0.83;20
12;"Potr";379.33;0.36;0.56;20
12;"Potr";379.33;1.1;1.3;20
12;"Potr";379.33;0.13;0.33;20
12;"Potr";379.33;3.39;3.59;20
12;"Potr";379.33;1.38;1.58;20
13;"Potr";2383.93;0.76;0.96;20
13;"Potr";2383.93;1.97;2.17;20
13;"Potr";2383.93;0.18;0.38;20
13;"Potr";2383.93;1.14;1.34;20
13;"Potr";2383.93;0.41;0.61;20
13;"Potr";2383.93;2.51;2.71;20
13;"Potr";2383.93;1.74;1.94;20
13;"Potr";2383.93;0.2;0.4;20
13;"Potr";2383.93;1.41;1.61;20
13;"Potr";2383.93;0.73;0.93;20
13;"Potr";2383.93;0.48;0.68;20
13;"Potr";2383.93;1.35;1.55;20
13;"Potr";2383.93;1.3;1.5;20
13;"Potr";2383.93;0.36;0.56;20
13;"Potr";2383.93;3.64;3.84;20
13;"Potr";2383.93;3.57;3.77;20
13;"Potr";2383.93;0.81;1.01;20
13;"Potr";2383.93;2.15;2.35;20
13;"Potr";2383.93;3.64;3.84;20
13;"Potr";2383.93;0.08;0.28;20
13;"Potr";2383.93;1.12;1.32;20
13;"Potr";2383.93;0.43;0.63;20
13;"Potr";2383.93;0.47;0.67;20
13;"Potr";2383.93;3.02;3.22;20
13;"Potr";2383.93;0.45;0.65;20
14;"Potr";1049.71;2.89;3.09;20
14;"Potr";1049.71;0.92;1.12;20
